"","Localidad","year","empresas","telefonos","bancos","ind_turismo"
"328","DEBA",1987,4,6.21957815035154,0,-1.5
"329","DEBA",1989,1,8.5030549898167,0,0.800000000000001
"330","DEBA",1991,-2,3.51947442515251,0,-1
"332","DENIA",1965,0,46.5141612200436,0,-1.09999999999999
"333","DENIA",1967,1,6.02230483271375,0,5.59999999999999
"334","DENIA",1969,1,17.741935483871,0,-9.59999999999999
"335","DENIA",1971,2,25.670041691483,0,2
"336","DENIA",1973,-4,44.739336492891,0,9.5
"337","DENIA",1975,3,24.0340537000655,2,45.9
"338","DENIA",1977,1,28.0359028511088,2,50.3
"339","DENIA",1979,4,44.2474226804124,0,-19.4
"340","DENIA",1981,-8,31.4322469982847,1,-57.3
"341","DENIA",1983,7,16.9983686786297,2,54.4
"342","DENIA",1985,12,13.3482059862428,0,1.09999999999999
"343","DENIA",1987,3,13.0556011153026,3,-30.2
"344","DENIA",1989,2,2.34295662266067,0,-15.5
"345","DENIA",1991,1,4.30221844212914,3,-10
"347","DONOSTIA/SAN SEBASTIAN",1965,9,72.4188954241113,2,-219.6
"348","DONOSTIA/SAN SEBASTIAN",1967,-3,22.3449903454194,2,-234.8
"349","DONOSTIA/SAN SEBASTIAN",1969,0,4.89960543621219,5,-224.4
"350","DONOSTIA/SAN SEBASTIAN",1971,-6,7.1415436566977,0,-284.1
"351","DONOSTIA/SAN SEBASTIAN",1973,4,-5.31119814014448,12,-254.5
"352","DONOSTIA/SAN SEBASTIAN",1975,4,10.8095638275084,9,-78.8000000000001
"353","DONOSTIA/SAN SEBASTIAN",1977,26,5.72664951596354,14,299.5
"354","DONOSTIA/SAN SEBASTIAN",1979,-4,7.38698697572365,8,-243.5
"355","DONOSTIA/SAN SEBASTIAN",1981,-25,6.5396201702685,-5,-45.6999999999999
"356","DONOSTIA/SAN SEBASTIAN",1983,41,26.1952472861832,9,-65.7
"357","DONOSTIA/SAN SEBASTIAN",1985,50,4.07789500345832,2,-48.6
"358","DONOSTIA/SAN SEBASTIAN",1987,56,-2.22394863202823,0,19
"359","DONOSTIA/SAN SEBASTIAN",1989,64,0.855821789950316,2,-0.399999999999977
"360","DONOSTIA/SAN SEBASTIAN",1991,-38,-3.13701295619572,0,13
"362","EL CAMPELLO",1965,-2,92.8571428571429,0,3.5
"363","EL CAMPELLO",1967,0,51.3227513227513,1,-14
"364","EL CAMPELLO",1969,0,29.020979020979,0,3.5
"365","EL CAMPELLO",1971,1,58.8075880758808,0,-6.6
"366","EL CAMPELLO",1973,-1,41.296928327645,1,-4.3
"367","EL CAMPELLO",1975,0,35.6280193236715,1,-4.1
"368","EL CAMPELLO",1977,0,17.9875333926981,0,4.8
"369","EL CAMPELLO",1979,1,39.3207547169811,1,-0.299999999999997
"370","EL CAMPELLO",1981,-1,38.6782231852654,1,-0.5
"371","EL CAMPELLO",1983,3,21.2109375,0,8.2
"372","EL CAMPELLO",1985,7,20.8507895584918,0,-1.5
"373","EL CAMPELLO",1987,-4,75.8666666666667,2,-0.399999999999999
"374","EL CAMPELLO",1989,8,10.7808946171342,-2,-4.9
"375","EL CAMPELLO",1991,4,6.46044347111963,2,-8
"377","EL MASNOU",1965,1,8.35881753312946,0,0.800000000000001
"378","EL MASNOU",1967,0,10.5362182502352,1,0.600000000000001
"379","EL MASNOU",1969,0,18.3829787234043,0,-15.9
"380","EL MASNOU",1971,0,62.3292595255212,0,-4.3
"381","EL MASNOU",1973,0,30.7794508414526,0,-2.1
"382","EL MASNOU",1975,1,42.5668811378259,4,-1.1
"383","EL MASNOU",1977,0,44.58432304038,1,17.4
"384","EL MASNOU",1979,-1,0.706423525546246,3,-1.5
"385","EL MASNOU",1981,-1,19.2659053833605,0,-3.4
"386","EL MASNOU",1983,5,6.64751743947476,0,-1.4
"387","EL MASNOU",1985,2,6.9385661151725,0,4.6
"388","EL MASNOU",1987,4,1.13936195730391,0,-9.4
"389","EL MASNOU",1989,5,6.4271315071742,-1,0.5
"390","EL MASNOU",1991,2,2.64066852367688,0,-5
"392","EL PRAT DE LLOBREGAT",1965,0,40.2412280701754,1,-8.6
"393","EL PRAT DE LLOBREGAT",1967,2,30.1798279906177,0,16.6
"394","EL PRAT DE LLOBREGAT",1969,-3,77.2372372372372,1,-13.1
"395","EL PRAT DE LLOBREGAT",1971,1,15.0118603863097,0,-1.8
"396","EL PRAT DE LLOBREGAT",1973,-1,98.408956982911,3,0.4
"397","EL PRAT DE LLOBREGAT",1975,3,54.5738045738046,6,4.7
"398","EL PRAT DE LLOBREGAT",1977,1,15.207993082909,4,13.6
"399","EL PRAT DE LLOBREGAT",1979,9,51.6010673782522,-2,-6.5
"400","EL PRAT DE LLOBREGAT",1981,-9,18.4763476347635,0,5.8
"401","EL PRAT DE LLOBREGAT",1983,11,8.65871210362598,0,14.6
"402","EL PRAT DE LLOBREGAT",1985,19,1.50401640745172,0,-4.1
"403","EL PRAT DE LLOBREGAT",1987,4,1.45647415389796,1,-11.4
