;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
325.;RESTAURACION TRADICIONAL SL;B28163087;MADRID;ESPANA;U1;31/12/2011;3.172
326.;WESCOM SIGNAL & RESCUE SPAIN SL.;B31013428;GALAR;ESPANA;U1;31/12/2021;3.150
327.;GALFAB SA;A28138758;MADRID;ESPANA;U1;31/12/2021;3.136
328.;HOTEL HISPANIA SA;A07015803;PALMA;ESPANA;U1;31/12/2021;3.128
329.;CENTRE NATACIO MATARO;G08475568;MATARO;ESPANA;U1;31/12/2009;3.115
330.;NOVAUTO SA  (EXTINGUIDA);A28151116;MADRID;ESPANA;U1;31/12/2012;3.095
331.;RICARDO SUESCUN SA (EN LIQUIDACION);A28162287;MADRID;ESPANA;U1;31/12/2017;3.034
332.;ORQUIDARIO LYCASTE SL;B38003034;SAN CRISTOBAL DE LA LAGUNA;ESPANA;U1;31/12/2021;3.030
333.;HOTELES COACH SL (EXTINGUIDA);B28158087;MARBELLA;ESPANA;U1;31/12/2020;3.018
334.;MZ DEL RIO SA;A50012780;ZARAGOZA;ESPANA;U1;31/12/2021;3.008
335.;URTINSA, SA;A28145498;ALCORCON;ESPANA;U2;31/12/2021;2.959
336.;TRANSPORTES MAT SA;A28150449;COSLADA;ESPANA;U1;31/12/2020;2.896
337.;COMPAÑIA HOTELERA FLORIDA SA;A07014277;PALMA;ESPANA;U1;31/12/2021;2.880
338.;AGORA INVERSIONES PATRIMONIALES SA;A28146108;MADRID;ESPANA;U1;31/12/2020;2.869
339.;HOTEL SALOBREÑA, SOCIEDAD ANONIMA;A18006957;SALOBREÑA;ESPANA;U1;31/12/2021;2.867
340.;I.M.F. KITCHEN SUPPLIES S.A.;A01004548;OYON-OION;ESPANA;U1;31/12/2021;2.862
341.;METALURGICA SAN JOSE ARTESANO S.C. AND;F23007065;ALCALA LA REAL;ESPANA;U1;31/12/2020;2.858
342.;ARACRE SA;A08196651;EL PRAT DE LLOBREGAT;ESPANA;U1;31/12/2021;2.857
343.;HASI IBERICA SA;A28151058;ALGETE;ESPANA;U1;31/12/2019;2.838
344.;ARMANDO SANTANA SA;A38003141;ARAFO;ESPANA;U1;31/12/2021;2.833
345.;MUCOR SL;B28176634;MADRID;ESPANA;U1;31/12/2020;2.802
346.;NATURANA IBERICA SA;A08186603;MOLINS DE REI;ESPANA;U1;31/12/2021;2.792
347.;COOP VALENCIANA EL PLANTIO Y LA CAÑADA;F46026027;PATERNA;ESPANA;U1;31/12/2020;2.789
348.;SOCIEDAD COOPERATIVA ASTURIANA CATOA.;F33009390;OVIEDO;ESPANA;U1;31/12/2021;2.766
349.;EL CACHIRULO, SOCIEDAD ANONIMA;A50012822;ZARAGOZA;ESPANA;U1;31/12/2021;2.761
350.;JAMONES DE SERON 1880 SOCIEDAD LIMITADA  (EXTINGUIDA);B04004388;SERON;ESPANA;U1;31/12/2009;2.724
351.;WINDISCH SA;A08202319;BARBERA DEL VALLES;ESPANA;U1;31/12/2017;2.709
352.;GUADACORTE, SA;A41015124;LOS BARRIOS;ESPANA;U1;31/12/2020;2.705
353.;INMOBILIARIA ALGOM SL;B47004700;VALLADOLID;ESPANA;U1;31/12/2020;2.673
354.;PERE SEDA SL;B07015241;MANACOR;ESPANA;U1;31/12/2018;2.655
355.;PROMOCIONES ALICANTINAS S.L. (EXTINGUIDA);B03017191;ALICANTE/ALACANT;ESPANA;U1;31/12/2000;2.643
356.;EMBUTICIONES PROFUNDAS DEL NORTE SOCIEDAD ANONIMA;A48040638;PORTUGALETE;ESPANA;U1;31/12/2021;2.618
357.;CONCENTRADOS DE UVA SA;A46030573;ALCAZAR DE SAN JUAN;ESPANA;U1;31/12/2021;2.599
358.;MONLLOR HERMANOS SA  (EXTINGUIDA);A03012275;ALCOY/ALCOI;ESPANA;U1;31/12/2007;2.571
359.;FERG SL;B08190084;GURB;ESPANA;U1;31/12/2021;2.531
360.;MAP SA;A28170231;POZUELO DE ALARCON;ESPANA;U1;31/12/2021;2.514
361.;EL SALVADOR SOCIEDAD COOPERATIVA AGRARIA;F40008302;FUENTEPELAYO;ESPANA;U1;31/12/2018;2.492
362.;EDICIONES PLEYADES SA;A28281830;MADRID;ESPANA;U1;31/12/2021;2.488
363.;VIUDA E HIJOS DE FRANCISCO VERA SA (EXTINGUIDA);A30601256;CARTAGENA;ESPANA;U1;31/12/2000;2.473
364.;FORMA COLOR SA (EXTINGUIDA);A08203127;BARCELONA;ESPANA;U1;31/12/2007;2.454
365.;INVERSIONES Y PROMOCIONES LASA SA (EXTINGUIDA);A28139087;MADRID;ESPANA;U1;31/12/2009;2.366
366.;EFRIASA SA;A28146868;PUERTO REAL;ESPANA;U1;31/12/2021;2.357
367.;EDIFICACIONES ADRIANO SA;A08193930;MADRID;ESPANA;U1;31/12/2020;2.345
368.;ALGARRA, SOCIEDAD ANONIMA UNIPERSONAL (EXTINGUIDA);A14012686;CORDOBA;ESPANA;U1;31/12/2010;2.338
369.;SUMINISTROS PARA LA INDUSTRIA PETROLIFERA AGUA Y GAS SA (EXTINGUIDA);A28144665;MADRID;ESPANA;U1;31/12/2010;2.309
370.;INMOBILIARIA PLAYA GIJON SL;B33604745;GIJON;ESPANA;U1;31/12/2021;2.285
371.;CANTERAS SAN ANDRES S.L. (EXTINGUIDA);B08187379;SANT ANDREU DE LA BARCA;ESPANA;U1;31/12/2000;2.262
372.;UNILEVER SERVICES ESPAÑA SA;A28138832;VILADECANS;ESPANA;U1;31/12/2021;2.246
373.;COMPAÑIA GENERAL DE INGENIERIA Y SONDEOS SA (EXTINGUIDA);A01004563;ALCOBENDAS;ESPANA;U1;31/12/2012;2.229
374.;KELVIN SA (EXTINGUIDA);A28150134;ARGANDA DEL REY;ESPANA;U1;31/12/2019;2.224
375.;SOMISAL SL;B28175990;ALCOBENDAS;ESPANA;U1;31/12/2020;2.223
376.;NUCLIBER S.A.;A28145720;MADRID;ESPANA;U1;31/12/2021;2.175
377.;COOP VALENCIANA LIMITADA DE VIVIENDAS FARO DEL MEDITERRANEO;F46032033;VALENCIA;ESPANA;U1;31/12/2006;2.173
378.;TORRE BARRIA SOCIEDAD LIMITADA. (EXTINGUIDA);B03016920;BILBAO;ESPANA;U1;31/12/2001;2.150
379.;COSTA CALMA SA;A35005628;PAJARA;ESPANA;U1;31/12/2021;2.132
380.;TANDE REFRIGERACION S.A.;A28178150;MADRID;ESPANA;U1;31/12/2000;2.122
381.;MANUFACTURAS FIMANRO SA;A48147523;BILBAO;ESPANA;U1;31/12/2021;2.105
382.;CARAVANAS MONCAYO SA  (EXTINGUIDA);A50013234;VILLANUEVA DE GALLEGO;ESPANA;U1;31/12/2009;2.086
383.;GANCEDO SA;A28152361;MADRID;ESPANA;U1;31/12/2009;2.083
384.;NOGARA SL;B28152858;MADRID;ESPANA;U1;31/12/2021;2.076
385.;INCISION SA (EXTINGUIDA);A08187049;SANT ADRIA DE BESOS;ESPANA;U1;31/12/2007;2.024
386.;MITCHELL SA (EXTINGUIDA);A28143907;MECO;ESPANA;U1;31/12/2008;1.998
387.;COMPLEJO INMOBILIARIO SAU;A08198566;BARCELONA;ESPANA;U1;31/12/2021;1.989
388.;HOSTELERA CASTELLANA SA;A28143386;MADRID;ESPANA;U1;31/12/2021;1.976
389.;MANUFACTURAS YUSTE SA  (EXTINGUIDA);A37004033;BEJAR;ESPANA;U1;31/12/2012;1.967
390.;BSB RODERGAS Y ASOCIADOS SA (EXTINGUIDA);A08191876;BARCELONA;ESPANA;U1;31/12/2000;1.956
391.;RADIO CORUÑA SL;B15011950;A CORUÑA;ESPANA;U1;31/12/2021;1.916
392.;PANIFICADORA MENESA SL;B09004060;VALLE DE MENA;ESPANA;U1;31/12/2021;1.907
393.;BIBIANO Y CIA SL;B30603112;CARTAGENA;ESPANA;U1;31/12/2021;1.857
394.;TRANSPORTES JALON SL;B50014463;CALATAYUD;ESPANA;U1;31/12/2011;1.851
395.;GENERAL GANADERA SOCIEDAD ANONIMA (EN LIQUIDACION);A46008272;SILLA;ESPANA;U1;31/12/2017;1.838
396.;FABRICACION MUEBLES COMPLEMENTARIOS SA;A09111097;BURGOS;ESPANA;U1;31/12/2001;1.834
397.;INDUSTRIAS MECANICAS DE TUDELA, SA  (EXTINGUIDA);A31010317;TUDELA;ESPANA;U1;31/12/2012;1.818
398.;EDICIONES PALABRA SA;A28148054;MADRID;ESPANA;U1;31/12/2021;1.757
399.;SUGUZ SL;B20026381;ANDOAIN;ESPANA;U1;31/12/2021;1.734
400.;NAVIERA BALEAR SL;B07012750;PALMA;ESPANA;U1;31/12/2021;1.732
401.;PROMOTORA DE HOTELES SA;A10002665;BADAJOZ;ESPANA;U1;31/12/2021;1.725
402.;CAUCHOS ARAGON SA;A50012723;LA MUELA;ESPANA;U1;31/12/2021;1.719
403.;ORFI SAP;A28136349;MADRID;ESPANA;U1;31/12/2021;1.703
404.;S.C. AGRICOLA NIÑO JESUS DE BO ARROYO REQUENA COOP VALENCIANA;F46032074;REQUENA;ESPANA;U1;31/12/2018;1.686
405.;MOBLAT S.L.;B46030912;ALGEMESI;ESPANA;U1;31/12/2013;1.670
406.;Z PUY & SOLER SL;B08194821;BARCELONA;ESPANA;U1;31/12/2021;1.630
407.;OSORNO SL;B41014457;SEVILLA;ESPANA;U1;31/12/2020;1.615
408.;TRITURADOS TEXTILES SA;A17011370;BESALU;ESPANA;U1;31/12/2021;1.576
